N,P,HASH,EXEC_TYPE,CHECKSUM,THROUGHPUT,PARTITION_TIME,GLOBAL_TIME
1000000,4096,mul,plain_vec,22756426582611224866584251715593856741,419287211.74004191,0.0047699999999999999,1.2510300000000001
10000000,16,mask,plain_vec,646785527683847652617387416037230238153,851063829.78723407,0.0235,1.7744
10000000,16,mul,plain_vec,482969819862384995818340254921523825424,421407501.05351871,0.047460000000000002,1.8084800000000001
10000000,32,mask,plain_vec,42867239462688925741090953971268491417,869565217.39130437,0.023,1.8230599999999999
10000000,32,mul,plain_vec,1318669243515875468612311719110511451862,417449384.26215822,0.047910000000000001,1.9493400000000001
10000000,64,mask,plain_vec,180344641600089295815274362764746307001,859845227.85898542,0.023259999999999999,1.83955
10000000,64,mul,plain_vec,1571712284003322414011862969289586078175,419023674.83762836,0.047729999999999995,1.8053900000000001
10000000,128,mask,plain_vec,82809270534509212616816454287959339385,848896434.6349746,0.023559999999999998,1.8028900000000001
10000000,128,mul,plain_vec,97515768730828339757257669040114950864,417362270.4507513,0.047919999999999997,1.8133600000000001
10000000,256,mask,plain_vec,1314774605202903785416717757788193993593,859106529.20962191,0.023280000000000002,1.8382700000000001
10000000,256,mul,plain_vec,4876792274535881369440684866151192685,420168067.22689074,0.047600000000000003,1.8306
10000000,512,mask,plain_vec,536831656504787356614739286363186079865,864677907.47946393,0.023129999999999998,1.78633
10000000,512,mul,plain_vec,153015346407195039898017491127375235415,419903422.21289104,0.047629999999999999,1.80969
10000000,1024,mask,plain_vec,178937207405185879346991956829105386105,853970964.98719049,0.02342,1.8343
10000000,1024,mul,plain_vec,73434978643226587214172138692436459252,418935902.80687058,0.047739999999999998,1.83815
10000000,2048,mask,plain_vec,174751143964903068612950250125392416377,842459983.15080035,0.023740000000000001,1.7826500000000001
10000000,2048,mul,plain_vec,208676546108534431517288459441205135625,418410041.84100419,0.047800000000000002,1.83016
10000000,4096,mask,plain_vec,118826605224740459825505141072278363769,851063829.78723407,0.0235,1.8038700000000001
10000000,4096,mul,plain_vec,76644521985652360106391080870612553536,419287211.74004191,0.047699999999999999,1.8148599999999999
100000,16,mask,avx2,167721051258154842028923385100699716177,1176470588.2352941,0.00017000000000000001,1.25545
